부재ID,유형,체적(m³),면적(m²),거푸집(m²),길이(m)
WL-S30-008-0271,wall,0.392,0.35,0.7,0.1
WL-S30-008-0272,wall,0.0543,0.543,1.085,0.155
WL-S30-008-0273,wall,0.0697,0.35,0.7,0.1
WL-S30-008-0274,wall,0.0,0.0,0.0,0.0
WL-S30-008-0275,wall,0.0,0.0,0.0,0.0
WL-S30-008-0276,wall,7.7883,9.748,19.495,2.785
WL-S30-008-0277,wall,0.0,0.0,0.0,0.0
WL-S30-008-0278,wall,0.0,0.0,0.0,0.0
WL-S30-008-0279,wall,0.0,0.0,0.0,0.0
WL-S30-008-0280,wall,0.0,0.0,0.0,0.0
WL-S30-008-0281,wall,0.0,0.0,0.0,0.0
WL-S30-008-0282,wall,0.0,0.0,0.0,0.0
WL-S30-008-0283,wall,0.861,4.305,8.61,1.23
WL-S30-008-0284,wall,1.323,6.615,13.23,1.89
WL-S30-008-0285,wall,0.0,0.0,0.0,0.0
WL-S30-008-0286,wall,0.0665,0.332,0.665,0.095
WL-S30-008-0287,wall,0.455,2.275,4.55,0.65
WL-S30-008-0288,wall,0.91,4.55,9.1,1.3
WL-S30-008-0289,wall,0.938,4.69,9.38,1.34
WL-S30-008-0290,wall,0.707,3.535,7.07,1.01
WL-S30-008-0291,wall,1.239,6.195,12.39,1.77
WL-S30-008-0292,wall,0.0,0.0,0.0,0.0
WL-S30-008-0293,wall,2.0882,6.16,12.32,1.76
WL-S30-008-0294,wall,0.0,0.0,0.0,0.0
WL-S30-008-0295,wall,0.0697,0.35,0.7,0.1
WL-S30-008-0296,wall,0.0,0.0,0.0,0.0
WL-S30-008-0297,wall,0.07,0.35,0.7,0.1
WL-S30-008-0298,wall,0.7133,0.7,1.4,0.2
WL-S30-008-0299,wall,0.0193,0.193,0.385,0.055
WL-S30-008-0300,wall,2.5626,6.422,12.845,1.835
WL-S30-008-0301,wall,0.0,0.0,0.0,0.0
WL-S30-008-0302,wall,0.0,0.0,0.0,0.0
WL-S30-008-0303,wall,0.0,0.0,0.0,0.0
WL-S30-008-0304,wall,0.0383,0.193,0.385,0.055
